23 	 GO:0000001 	 mitochondrion inheritance 	 BP
25 	 GO:0000002 	 mitochondrial genome maintenance 	 BP
26 	 GO:0000003 	 reproduction 	 BP
30 	 GO:0042254 	 ribosome biogenesis 	 BP
31 	 GO:0044183 	 protein binding involved in protein folding 	 MF
32 	 GO:0051082 	 unfolded protein binding 	 MF
33 	 GO:0000006 	 high-affinity zinc transmembrane transporter activity 	 MF
35 	 GO:0000007 	 low-affinity zinc ion transmembrane transporter activity 	 MF
37 	 GO:0003756 	 protein disulfide isomerase activity 	 MF
38 	 GO:0015036 	 disulfide oxidoreductase activity 	 MF
39 	 GO:0000009 	 alpha-1,6-mannosyltransferase activity 	 MF
40 	 GO:0000010 	 trans-hexaprenyltranstransferase activity 	 MF
41 	 GO:0000011 	 vacuole inheritance 	 BP
42 	 GO:0000012 	 single strand break repair 	 BP
43 	 GO:0000014 	 single-stranded DNA endodeoxyribonuclease activity 	 MF
44 	 GO:0000015 	 phosphopyruvate hydratase complex 	 CC
45 	 GO:0000016 	 lactase activity 	 MF
47 	 GO:0000017 	 alpha-glucoside transport 	 BP
48 	 GO:0000018 	 regulation of DNA recombination 	 BP
49 	 GO:0000019 	 regulation of mitotic recombination 	 BP
53 	 GO:0045950 	 negative regulation of mitotic recombination 	 BP
54 	 GO:0000022 	 mitotic spindle elongation 	 BP
55 	 GO:0000023 	 maltose metabolic process 	 BP
56 	 GO:0000024 	 maltose biosynthetic process 	 BP
57 	 GO:0000025 	 maltose catabolic process 	 BP
58 	 GO:0000026 	 alpha-1,2-mannosyltransferase activity 	 MF
59 	 GO:0000027 	 ribosomal large subunit assembly 	 BP
60 	 GO:0000028 	 ribosomal small subunit assembly 	 BP
61 	 GO:0000030 	 mannosyltransferase activity 	 MF
62 	 GO:0000031 	 mannosylphosphate transferase activity 	 MF
63 	 GO:0000032 	 cell wall mannoprotein biosynthetic process 	 BP
64 	 GO:0000033 	 alpha-1,3-mannosyltransferase activity 	 MF
65 	 GO:0000034 	 adenine deaminase activity 	 MF
66 	 GO:0000035 	 acyl binding 	 MF
67 	 GO:0000036 	 acyl carrier activity 	 MF
68 	 GO:0000038 	 very long-chain fatty acid metabolic process 	 BP
70 	 GO:0005324 	 long-chain fatty acid transporter activity 	 MF
71 	 GO:0005886 	 plasma membrane 	 CC
72 	 GO:0000041 	 transition metal ion transport 	 BP
74 	 GO:0000045 	 autophagosome assembly 	 BP
76 	 GO:0009055 	 electron transfer activity 	 MF
77 	 GO:0000048 	 peptidyltransferase activity 	 MF
78 	 GO:0000049 	 tRNA binding 	 MF
79 	 GO:0000050 	 urea cycle 	 BP
81 	 GO:0000052 	 citrulline metabolic process 	 BP
82 	 GO:0000053 	 argininosuccinate metabolic process 	 BP
83 	 GO:0000054 	 ribosomal subunit export from nucleus 	 BP
84 	 GO:0000055 	 ribosomal large subunit export from nucleus 	 BP
85 	 GO:0000056 	 ribosomal small subunit export from nucleus 	 BP
87 	 GO:0000060 	 protein import into nucleus, translocation 	 BP
88 	 GO:0000061 	 protein import into nucleus, substrate release 	 BP
89 	 GO:0000062 	 fatty-acyl-CoA binding 	 MF
90 	 GO:0000064 	 L-ornithine transmembrane transporter activity 	 MF
92 	 GO:0006260 	 DNA replication 	 BP
93 	 GO:0007059 	 chromosome segregation 	 BP
94 	 GO:0051276 	 chromosome organization 	 BP
95 	 GO:0000070 	 mitotic sister chromatid segregation 	 BP
97 	 GO:0007017 	 microtubule-based process 	 BP
98 	 GO:0000073 	 mitotic spindle pole body separation 	 BP
99 	 GO:0000075 	 cell cycle checkpoint 	 BP
100 	 GO:0000076 	 DNA replication checkpoint 	 BP
101 	 GO:0000077 	 DNA damage checkpoint 	 BP
103 	 GO:0044878 	 mitotic cytokinesis checkpoint 	 BP
104 	 GO:0044879 	 morphogenesis checkpoint 	 BP
105 	 GO:0000079 	 regulation of cyclin-dependent protein serine/threonine kinase activity 	 BP
106 	 GO:0000080 	 mitotic G1 phase 	 BP
107 	 GO:0000082 	 G1/S transition of mitotic cell cycle 	 BP
108 	 GO:0000083 	 regulation of transcription involved in G1/S transition of mitotic cell cycle 	 BP
109 	 GO:0000084 	 mitotic S phase 	 BP
110 	 GO:0000085 	 mitotic G2 phase 	 BP
111 	 GO:0000086 	 G2/M transition of mitotic cell cycle 	 BP
112 	 GO:0000087 	 mitotic M phase 	 BP
113 	 GO:0000088 	 mitotic prophase 	 BP
114 	 GO:0000089 	 mitotic metaphase 	 BP
115 	 GO:0000090 	 mitotic anaphase 	 BP
116 	 GO:0000091 	 mitotic anaphase A 	 BP
117 	 GO:0000092 	 mitotic anaphase B 	 BP
118 	 GO:0000093 	 mitotic telophase 	 BP
120 	 GO:0000917 	 division septum assembly 	 BP
121 	 GO:0000918 	 division septum site selection 	 BP
122 	 GO:0000921 	 septin ring assembly 	 BP
123 	 GO:0000095 	 S-adenosyl-L-methionine transmembrane transporter activity 	 MF
124 	 GO:0000096 	 sulfur amino acid metabolic process 	 BP
125 	 GO:0000097 	 sulfur amino acid biosynthetic process 	 BP
126 	 GO:0000098 	 sulfur amino acid catabolic process 	 BP
127 	 GO:0000099 	 sulfur amino acid transmembrane transporter activity 	 MF
128 	 GO:0000100 	 S-methylmethionine transmembrane transporter activity 	 MF
129 	 GO:0000101 	 sulfur amino acid transport 	 BP
130 	 GO:0000102 	 L-methionine secondary active transmembrane transporter activity 	 MF
131 	 GO:0000103 	 sulfate assimilation 	 BP
132 	 GO:0000104 	 succinate dehydrogenase activity 	 MF
133 	 GO:0000105 	 histidine biosynthetic process 	 BP
134 	 GO:0000107 	 imidazoleglycerol-phosphate synthase activity 	 MF
137 	 GO:0000109 	 nucleotide-excision repair complex 	 CC
138 	 GO:0000110 	 nucleotide-excision repair factor 1 complex 	 CC
139 	 GO:0000111 	 nucleotide-excision repair factor 2 complex 	 CC
140 	 GO:0000112 	 nucleotide-excision repair factor 3 complex 	 CC
141 	 GO:0000113 	 nucleotide-excision repair factor 4 complex 	 CC
145 	 GO:0000117 	 regulation of transcription involved in G2/M transition of mitotic cell cycle 	 BP
146 	 GO:0000118 	 histone deacetylase complex 	 CC
147 	 GO:0000120 	 RNA polymerase I transcription factor complex 	 CC
148 	 GO:0000121 	 glycerol-1-phosphatase activity 	 MF
149 	 GO:0000122 	 negative regulation of transcription by RNA polymerase II 	 BP
150 	 GO:0000123 	 histone acetyltransferase complex 	 CC
151 	 GO:0000124 	 SAGA complex 	 CC
152 	 GO:0000125 	 PCAF complex 	 CC
153 	 GO:0000126 	 transcription factor TFIIIB complex 	 CC
154 	 GO:0000127 	 transcription factor TFIIIC complex 	 CC
155 	 GO:0000128 	 flocculation 	 BP
156 	 GO:0000131 	 incipient cellular bud site 	 CC
157 	 GO:0000132 	 establishment of mitotic spindle orientation 	 BP
158 	 GO:0000133 	 polarisome 	 CC
159 	 GO:0000136 	 alpha-1,6-mannosyltransferase complex 	 CC
160 	 GO:0000137 	 Golgi cis cisterna 	 CC
161 	 GO:0000138 	 Golgi trans cisterna 	 CC
162 	 GO:0000139 	 Golgi membrane 	 CC
163 	 GO:0000140 	 acylglycerone-phosphate reductase activity 	 MF
164 	 GO:0000142 	 cellular bud neck contractile ring 	 CC
165 	 GO:0000144 	 cellular bud neck septin ring 	 CC
166 	 GO:0000145 	 exocyst 	 CC
167 	 GO:0000146 	 microfilament motor activity 	 MF
168 	 GO:0000147 	 actin cortical patch assembly 	 BP
169 	 GO:0000148 	 1,3-beta-D-glucan synthase complex 	 CC
170 	 GO:0000149 	 SNARE binding 	 MF
171 	 GO:0000150 	 recombinase activity 	 MF
172 	 GO:0000151 	 ubiquitin ligase complex 	 CC
173 	 GO:0000152 	 nuclear ubiquitin ligase complex 	 CC
174 	 GO:0000153 	 cytoplasmic ubiquitin ligase complex 	 CC
175 	 GO:0000154 	 rRNA modification 	 BP
176 	 GO:0000155 	 phosphorelay sensor kinase activity 	 MF
177 	 GO:0000156 	 phosphorelay response regulator activity 	 MF
178 	 GO:0000159 	 protein phosphatase type 2A complex 	 CC
179 	 GO:0000160 	 phosphorelay signal transduction system 	 BP
180 	 GO:0000161 	 osmosensory signaling MAPK cascade 	 BP
181 	 GO:0000162 	 tryptophan biosynthetic process 	 BP
182 	 GO:0000164 	 protein phosphatase type 1 complex 	 CC
183 	 GO:0000165 	 MAPK cascade 	 BP
184 	 GO:0000166 	 nucleotide binding 	 MF
185 	 GO:0000167 	 activation of MAPKKK activity involved in osmosensory signaling pathway 	 BP
186 	 GO:0000168 	 activation of MAPKK activity involved in osmosensory signaling pathway 	 BP
187 	 GO:0000169 	 activation of MAPK activity involved in osmosensory signaling pathway 	 BP
188 	 GO:0000170 	 sphingosine hydroxylase activity 	 MF
189 	 GO:0000171 	 ribonuclease MRP activity 	 MF
190 	 GO:0000172 	 ribonuclease MRP complex 	 CC
191 	 GO:0000173 	 inactivation of MAPK activity involved in osmosensory signaling pathway 	 BP
193 	 GO:0000750 	 pheromone-dependent signal transduction involved in conjugation with cellular fusion 	 BP
194 	 GO:0000175 	 3'-5'-exoribonuclease activity 	 MF
195 	 GO:0000176 	 nuclear exosome (RNase complex) 	 CC
196 	 GO:0000177 	 cytoplasmic exosome (RNase complex) 	 CC
197 	 GO:0000178 	 exosome (RNase complex) 	 CC
198 	 GO:0000179 	 rRNA (adenine-N6,N6-)-dimethyltransferase activity 	 MF
200 	 GO:0022625 	 cytosolic large ribosomal subunit 	 CC
202 	 GO:0022627 	 cytosolic small ribosomal subunit 	 CC
203 	 GO:0000182 	 rDNA binding 	 MF
204 	 GO:0000183 	 chromatin silencing at rDNA 	 BP
205 	 GO:0000184 	 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay 	 BP
206 	 GO:0000185 	 activation of MAPKKK activity 	 BP
207 	 GO:0000186 	 activation of MAPKK activity 	 BP
208 	 GO:0000187 	 activation of MAPK activity 	 BP
209 	 GO:0000188 	 inactivation of MAPK activity 	 BP
211 	 GO:0006606 	 protein import into nucleus 	 BP
218 	 GO:0000196 	 cell wall integrity MAPK cascade 	 BP
219 	 GO:0000197 	 activation of MAPKKK activity involved in cell wall organization or biogenesis 	 BP
220 	 GO:0000198 	 activation of MAPKK activity involved in cell wall organization or biogenesis 	 BP
221 	 GO:0000199 	 activation of MAPK activity involved in cell wall organization or biogenesis 	 BP
222 	 GO:0000200 	 inactivation of MAPK activity involved in cell wall organization or biogenesis 	 BP
231 	 GO:0000209 	 protein polyubiquitination 	 BP
232 	 GO:0000210 	 NAD+ diphosphatase activity 	 MF
